english,chinese
abandon,放弃
ability,能力
able,有能力的
above,在…之上
abroad,国外
absent,缺席的
absolute,绝对的
absorb,吸收
abundant,丰富的
accept,接受
access,进入
accident,事故
account,账户
achieve,实现
acknowledge,承认
acquire,获得
act,行动
action,行动
active,活跃的
actual,实际的
adapt,适应
add,增加
address,地址
adequate,充分的
adjust,调整
admire,钦佩
admit,承认
adopt,采用
advance,前进
advantage,优势
advice,建议
affair,事务
affect,影响
afford,负担得起
after,在…之后
again,再次
against,反对
age,年龄
agent,代理人
agree,同意
ahead,向前
aim,目标
air,空气
allow,允许
almost,几乎
alone,单独的
along,沿着
already,已经
also,也
alter,改变
although,虽然
always,总是
among,在…之中
amount,数量
analyse,分析
ancient,古代的
anger,愤怒
angle,角度
animal,动物
announce,宣布
annual,年度的
another,另一个
answer,回答
anxious,焦虑的
any,任何
apart,分开
apparent,明显的
appeal,呼吁
appear,出现
apply,申请
appoint,任命
approach,方法
approve,批准
area,区域
argue,争论
arise,出现
arm,手臂
around,围绕
arrange,安排
arrest,逮捕
arrive,到达
art,艺术
article,文章
artificial,人工的
ashamed,羞愧的
aside,在旁边
ask,问
aspect,方面
assist,帮助
assume,假设
astonish,使惊讶
attack,攻击
attempt,尝试
attend,参加
attitude,态度
attract,吸引
audience,观众
author,作者
authority,权威
available,可用的
average,平均的
avoid,避免
aware,意识到的
away,离开
back,背部
bad,坏的
balance,平衡
bank,银行
base,基础
basic,基本的
bear,忍受
beauty,美丽
because,因为
become,成为
before,在…之前
begin,开始
behave,表现
belief,信念
believe,相信
belong,属于
below,在…下面
benefit,利益
beside,在…旁边
beyond,超出
big,大的
blame,责备
board,木板
body,身体
book,书
border,边界
born,出生的
borrow,借
both,两者
bother,打扰
bottom,底部
boundary,边界
brain,大脑
branch,分支
brave,勇敢的
break,打破
brief,简短的
bright,明亮的
bring,带来
broad,宽阔的
build,建造
burden,负担
burn,燃烧
business,商业
busy,忙碌的
but,但是
buy,购买
calculate,计算
call,呼叫
calm,平静的
campaign,运动
capable,有能力的
capital,首都
care,关心
career,职业
carry,携带
case,情况
cause,原因
central,中心的
century,世纪
certain,确定的
chain,链条
challenge,挑战
chance,机会
change,改变
character,性格
charge,收费
cheap,便宜的
check,检查
chief,主要的
choice,选择
choose,选择
circle,圆圈
circumstance,情况
citizen,公民
city,城市
civil,公民的
claim,声称
class,班级
classic,经典的
clear,清晰的
climate,气候
climb,攀登
close,关闭
club,俱乐部
coach,教练
cold,寒冷的
collect,收集
college,大学
colour,颜色
combine,结合
come,来
comfort,舒适
command,命令
comment,评论
commercial,商业的
commit,犯
common,普通的
communicate,沟通
community,社区
company,公司
compare,比较
compete,竞争
complete,完整的
complex,复杂的
concern,关心
condition,条件
conduct,进行
conference,会议
confidence,信心
confirm,确认
confuse,使迷惑
connect,连接
conscious,有意识的
consist,由…组成
constant,不断的
construct,建造
consult,咨询
contain,包含
content,内容
continue,继续
control,控制
convenient,方便的
conversation,对话
convince,说服
cook,烹饪
cool,凉爽的
copy,复制
corner,角落
correct,正确的
cost,成本
could,能够
council,议会
count,计数
country,国家
courage,勇气
course,课程
court,法庭
cover,覆盖
create,创造
credit,信用
crime,犯罪
critical,批判的
cross,十字架
crowd,人群
crucial,关键的
culture,文化
cure,治愈
curious,好奇的
current,当前的
custom,习俗
customer,顾客
cut,切割
damage,损害
danger,危险
dark,黑暗的
data,数据
date,日期
dawn,黎明
day,白天
dead,死亡的
deal,处理
death,死亡
debate,辩论
debt,债务
decide,决定
declare,宣布
decline,下降
decorate,装饰
decrease,减少
deep,深的
defeat,击败
defend,防御
define,定义
degree,程度
delay,延迟
delicate,精致的
delight,快乐
deliver,递送
demand,要求
democracy,民主
demonstrate,证明
depend,依赖
depress,使沮丧
depth,深度
derive,起源
describe,描述
deserve,应得
design,设计
desire,渴望
desk,书桌
despair,绝望
despite,尽管
destroy,摧毁
detail,细节
determine,决定
develop,发展
device,设备
devote,奉献
die,死亡
difference,差异
different,不同的
difficult,困难的
dig,挖掘
digital,数字的
direct,直接的
direction,方向
director,导演
dirty,肮脏的
disappear,消失
discover,发现
discuss,讨论
disease,疾病
dish,盘子
dismiss,解雇
display,展示
distance,距离
distinct,不同的
distinguish,区分
distribute,分配
district,地区
disturb,打扰
diverse,不同的
divide,划分
doctor,医生
document,文件
dog,狗
domain,领域
domestic,国内的
dominant,占优势的
door,门
double,双倍的
doubt,怀疑
down,向下
draft,草稿
drag,拖拽
drama,戏剧
drastic,激烈的
draw,画
dream,梦想
drive,驾驶
drop,落下
drown,淹没
drug,药物
dry,干燥的
due,到期的
dull,迟钝的
during,在…期间
dust,灰尘
duty,责任
each,每个
eager,渴望的
ear,耳朵
early,早的
earn,赚得
earth,地球
ease,容易
east,东方
easy,容易的
eat,吃
economic,经济的
edge,边缘
educate,教育
effect,效果
efficient,高效的
effort,努力
either,任一
elect,选举
electric,电的
element,元素
elevate,提升
else,其他
embarrass,使尴尬
emerge,出现
emotion,情感
emphasis,强调
employ,雇用
empty,空的
enable,使能够
encounter,遭遇
encourage,鼓励
end,结束
enemy,敌人
energy,能量
engage,从事
engine,引擎
engineer,工程师
enhance,提高
enjoy,享受
enough,足够的
enrich,丰富
ensure,确保
enter,进入
entertain,娱乐
enthusiasm,热情
entire,全部的
entitle,给…权利
entry,进入
envelope,信封
environment,环境
equal,平等的
equip,装备
error,错误
escape,逃脱
especially,尤其
essential,必要的
establish,建立
estate,财产
estimate,估计
ethnic,种族的
even,甚至
event,事件
ever,曾经
every,每个
evidence,证据
exact,精确的
examine,检查
example,例子
exceed,超过
excellent,优秀的
except,除…之外
excess,过量
exchange,交换
exciting,激动人心的
exclude,排除
excuse,原谅
execute,执行
executive,主管
exercise,锻炼
exhaust,耗尽
exist,存在
exit,出口
expand,扩大
expect,期待
expense,费用
experience,经验
experiment,实验
expert,专家
explain,解释
explode,爆炸
explore,探索
export,出口
expose,暴露
express,表达
extend,延伸
extent,程度
external,外部的
extra,额外的
extraordinary,非凡的
extreme,极端的
face,脸
facility,设施
fact,事实
factor,因素
factory,工厂
fail,失败
failure,失败
fair,公平的
faith,信任
fall,落下
false,错误的
familiar,熟悉的
family,家庭
famous,著名的
far,远的
farm,农场
fashion,时尚
fast,快的
fatal,致命的
father,父亲
fault,错误
favour,喜爱
fear,恐惧
feature,特征
fee,费用
feed,喂养
feel,感觉
fellow,同伴
female,女性的
fence,栅栏
festival,节日
few,很少的
field,田野
fight,战斗
figure,数字
file,文件
fill,填满
film,电影
final,最终的
finance,财政
find,找到
fine,好的
finish,完成
firm,牢固的
first,第一
fit,适合的
fix,固定
flag,旗帜
flash,闪光
flat,平坦的
flavour,味道
flee,逃离
flexible,灵活的
flight,飞行
float,漂浮
flood,洪水
floor,地板
flow,流动
flower,花
focus,焦点
fold,折叠
follow,跟随
fond,喜欢的
food,食物
fool,傻瓜
foot,脚
force,力量
foreign,外国的
forest,森林
forget,忘记
forgive,原谅
form,形式
formal,正式的
former,以前的
fortune,财富
forward,向前
found,建立
foundation,基础
frame,框架
free,自由的
freedom,自由
freeze,冻结
frequent,频繁的
fresh,新鲜的
friend,朋友
frighten,使害怕
front,前面
fruit,水果
frustrate,使沮丧
fuel,燃料
full,满的
fun,乐趣
function,功能
fund,基金
fundamental,基本的
funny,有趣的
further,更远的
future,未来
gain,获得
game,游戏
gap,缺口
garden,花园
gas,气体
gate,大门
gather,聚集
general,一般的
generate,产生
generation,一代
generous,慷慨的
gentle,温和的
genuine,真正的
get,得到
gift,礼物
girl,女孩
give,给予
glad,高兴的
glance,一瞥
glass,玻璃
global,全球的
goal,目标
gold,黄金
good,好的
goods,货物
government,政府
grab,抓住
grade,等级
gradual,逐渐的
graduate,毕业
grain,谷物
grand,宏伟的
grant,授予
grass,草
grateful,感激的
great,伟大的
green,绿色的
ground,地面
group,团体
grow,生长
guarantee,保证
guard,保卫
guess,猜测
guest,客人
guide,指导
guilty,有罪的
gun,枪
habit,习惯
half,一半
hall,大厅
handle,处理
hang,悬挂
happen,发生
happy,快乐的
hard,硬的
harm,伤害
harmony,和谐
harvest,收获
hate,仇恨
have,有
head,头部
health,健康
hear,听见
heart,心脏
heat,热量
heavy,沉重的
height,高度
hell,地狱
help,帮助
hence,因此
here,这里
hesitate,犹豫
hide,隐藏
high,高的
hill,小山
hire,雇用
history,历史
hit,打
hold,持有
hole,洞
holiday,假日
hollow,空的
holy,神圣的
home,家
honest,诚实的
honour,荣誉
hope,希望
horizon,地平线
horrible,可怕的
horse,马
hospital,医院
host,主人
hot,热的
hotel,酒店
hour,小时
house,房子
how,如何
huge,巨大的
human,人类的
humble,谦逊的
humour,幽默
hungry,饥饿的
hunt,打猎
hurry,匆忙
hurt,伤害
husband,丈夫
idea,想法
identify,识别
if,如果
ignore,忽视
ill,生病的
image,形象
imagination,想象力
imagine,想象
immediate,立即的
impact,影响
implement,实施
importance,重要性
important,重要的
impose,强加
improve,改进
in,在…内
inch,英寸
include,包含
income,收入
increase,增加
increasingly,越来越多地
indeed,确实
independent,独立的
indicate,表明
individual,个人的
industrial,工业的
industry,工业
inevitable,不可避免的
infect,传染
infer,推断
influence,影响
inform,通知
information,信息
initial,最初的
injure,伤害
inner,内部的
innocent,无辜的
innovation,创新
input,输入
inquire,询问
insect,昆虫
inside,内部
insist,坚持
inspect,检查
inspire,鼓舞
install,安装
instance,实例
instead,代替
institute,机构
institution,机构
instruction,指导
instrument,工具
insurance,保险
intend,打算
intense,强烈的
interest,兴趣
internal,内部的
international,国际的
internet,互联网
interpret,解释
interrupt,打断
interview,面试
into,进入
introduce,介绍
invest,投资
investigate,调查
investment,投资
invite,邀请
involve,涉及
iron,铁
island,岛
issue,问题
item,项目
job,工作
join,加入
joint,联合的
joke,玩笑
journey,旅行
joy,快乐
judge,法官
judgment,判断
jump,跳跃
junior,年少的
just,公正的
justice,正义
justify,证明…正当
keep,保持
key,钥匙
kick,踢
kill,杀死
kind,种类
king,国王
knee,膝盖
knock,敲
know,知道
knowledge,知识
labour,劳动
lack,缺乏
land,土地
language,语言
large,大的
last,最后的
late,晚的
laugh,笑
launch,发射
law,法律
lawyer,律师
lay,放置
layer,层
lead,领导
leader,领导者
leading,主要的
learn,学习
least,最少的
leave,离开
lecture,演讲
left,左边的
legal,法律的
leisure,闲暇
lend,借出
length,长度
less,更少的
lesson,课
let,让
letter,信
level,水平
liable,有责任的
liberal,自由的
liberty,自由
library,图书馆
license,许可证
lie,躺
life,生命
lift,举起
light,光
like,喜欢
likely,可能的
limit,限制
line,线
link,连接
list,列表
listen,听
literary,文学的
literature,文学
little,小的
live,居住
load,负载
loan,贷款
local,当地的
locate,定位
lock,锁
long,长的
look,看
loose,松的
lord,主
lose,丢失
loss,损失
lot,许多
love,爱
low,低的
lower,较低的
lucky,幸运的
lunch,午餐
lung,肺
luxury,奢侈
machine,机器
mad,疯狂的
magazine,杂志
magic,魔法
main,主要的
maintain,维持
major,主要的
majority,多数
make,制造
male,男性的
manage,管理
management,管理
manager,经理
manner,方式
many,许多
mark,标记
market,市场
marry,结婚
master,主人
match,比赛
material,材料
matter,事情
may,可能
maybe,也许
mean,意思是
meaning,意义
measure,测量
media,媒体
medical,医疗的
medicine,药物
medium,中等的
meet,遇见
meeting,会议
member,成员
memory,记忆
mental,精神的
mention,提到
merely,仅仅
message,信息
method,方法
middle,中间的
might,可能
mild,温和的
mile,英里
military,军事的
milk,牛奶
mind,头脑
mine,我的
minister,部长
minor,较小的
minute,分钟
miss,想念
mistake,错误
model,模型
moderate,温和的
modern,现代的
modest,谦虚的
moment,时刻
money,钱
month,月
more,更多的
morning,早晨
most,最多的
mother,母亲
motion,运动
motivate,激励
motor,马达
mountain,山
mouth,嘴
move,移动
movement,运动
movie,电影
much,许多
multiple,多个的
murder,谋杀
music,音乐
must,必须
mutual,相互的
mysterious,神秘的
myth,神话
narrow,狭窄的
nation,国家
national,国家的
native,本地的
natural,自然的
nature,自然
near,靠近
nearly,几乎
necessary,必要的
neck,脖子
need,需要
negative,消极的
neglect,忽视
neither,两者都不
nervous,紧张的
net,网
network,网络
never,从不
nevertheless,然而
new,新的
news,新闻
newspaper,报纸
next,下一个
nice,好的
night,夜晚
no,不
noble,高贵的
nobody,没有人
noise,噪音
none,没有一个
nor,也不
normal,正常的
north,北方
nose,鼻子
not,不
note,笔记
nothing,没有东西
notice,注意
notion,概念
novel,小说
now,现在
nowhere,无处
number,数字
numerous,众多的
nurse,护士
object,物体
objective,客观的
oblige,迫使
observation,观察
observe,观察
obstacle,障碍
obtain,获得
obvious,明显的
occasion,场合
occasional,偶尔的
occupy,占据
occur,发生
ocean,海洋
odd,奇怪的
of,…的
off,离开
offend,冒犯
offer,提供
office,办公室
officer,官员
official,官方的
often,经常
oil,油
old,老的
on,在…上
once,一次
one,一个
only,仅仅
onto,到…上
open,开放的
operate,操作
operation,操作
opinion,意见
opponent,对手
opportunity,机会
oppose,反对
opposite,相反的
option,选择
or,或者
orange,橙色
order,顺序
ordinary,普通的
organ,器官
organization,组织
original,原始的
other,其他的
otherwise,否则
ought,应该
our,我们的
out,出去
outcome,结果
outdoor,户外的
outer,外部的
outline,轮廓
output,输出
outside,外面
outstanding,杰出的
over,在…上方
overall,全面的
overcome,克服
owe,欠
own,自己的
owner,所有者
pace,步速
pack,包装
page,页
pain,疼痛
paint,油漆
pair,一对
palace,宫殿
pale,苍白的
paper,纸
paragraph,段落
parallel,平行的
parent,父母
park,公园
part,部分
participate,参加
particular,特别的
particularly,特别地
partly,部分地
partner,伙伴
party,聚会
pass,通过
passage,通道
passenger,乘客
passion,热情
past,过去
path,路径
patient,耐心的
pattern,模式
pause,暂停
pay,支付
peace,和平
peculiar,奇特的
per,每
perceive,感知
percent,百分比
perfect,完美的
perform,执行
performance,表演
perhaps,也许
period,时期
permanent,永久的
permit,允许
person,人
personal,个人的
personality,个性
persuade,说服
pet,宠物
phone,电话
photo,照片
physical,身体的
pick,挑选
picture,图画
piece,片
place,地方
plan,计划
plant,植物
plastic,塑料
plate,盘子
platform,平台
play,玩耍
player,运动员
pleasant,愉快的
please,请
pleasure,快乐
plenty,丰富
plot,情节
plus,加上
pocket,口袋
point,点
police,警察
policy,政策
political,政治的
politics,政治
poor,贫穷的
popular,流行的
population,人口
position,位置
positive,积极的
possess,拥有
possibility,可能性
possible,可能的
post,邮政
pot,壶
potential,潜在的
poverty,贫困
power,力量
practical,实际的
practice,实践
praise,赞扬
pray,祈祷
precise,精确的
predict,预测
prefer,更喜欢
preference,偏爱
pregnant,怀孕的
prejudice,偏见
premier,总理
prepare,准备
presence,出席
present,现在的
preserve,保存
president,总统
press,压
pressure,压力
pretend,假装
pretty,漂亮的
prevent,防止
previous,先前的
price,价格
pride,自豪
primary,首要的
prime,首要的
principle,原则
print,印刷
prior,优先的
prison,监狱
private,私人的
prize,奖品
probably,很可能
problem,问题
process,过程
produce,生产
product,产品
production,生产
profession,职业
professional,专业的
professor,教授
profit,利润
program,程序
progress,进步
project,项目
promise,承诺
promote,促进
prompt,迅速的
proof,证据
proper,适当的
property,财产
proposal,提议
propose,提议
protect,保护
protest,抗议
proud,骄傲的
prove,证明
provide,提供
public,公众的
publish,出版
pull,拉
punish,惩罚
pupil,学生
purchase,购买
pure,纯的
purpose,目的
pursue,追求
push,推
put,放
qualify,取得资格
quality,质量
quantity,数量
quarter,四分之一
queen,女王
question,问题
quick,快的
quiet,安静的
quit,离开
quite,相当
quote,引用
race,种族
radio,无线电
rail,铁轨
raise,提高
range,范围
rank,等级
rapid,迅速的
rare,稀有的
rate,比率
rather,相当
reach,到达
react,反应
read,阅读
ready,准备好的
real,真实的
reality,现实
realize,意识到
reason,原因
reasonable,合理的
recall,回忆
receive,收到
recent,最近的
recognize,认出
recommend,推荐
record,记录
recover,恢复
reduce,减少
refer,参考
reference,参考
reflect,反射
reform,改革
refuse,拒绝
regard,认为
region,地区
register,登记
regret,遗憾
regular,规则的
regulate,管理
reinforce,加强
reject,拒绝
relate,联系
relation,关系
relative,相对的
relax,放松
release,释放
relevant,相关的
relief,减轻
religion,宗教
remain,保持
remark,评论
remember,记住
remind,提醒
remove,移开
renew,更新
rent,租金
repair,修理
repeat,重复
replace,取代
reply,回答
report,报告
represent,代表
republic,共和国
reputation,名誉
request,请求
require,要求
rescue,营救
research,研究
reserve,保留
resident,居民
resist,抵抗
resolve,解决
resource,资源
respect,尊重
respond,回答
response,回答
responsible,负责的
rest,休息
restore,恢复
restrict,限制
result,结果
return,返回
reveal,揭示
revenge,报复
reverse,反转
review,复习
revise,修订
revolution,革命
reward,报酬
rich,富裕的
ride,骑
right,正确的
ring,戒指
rise,升起
risk,风险
rival,对手
river,河
road,道路
rob,抢劫
rock,岩石
role,角色
roll,滚动
room,房间
root,根
rough,粗糙的
round,圆形的
route,路线
routine,常规的
row,排
royal,皇家的
rub,摩擦
rude,粗鲁的
rule,规则
run,跑
rural,乡村的
rush,冲
sad,悲伤的
safe,安全的
safety,安全
sail,航行
salt,盐
same,相同的
sample,样品
sand,沙子
save,拯救
say,说
scale,规模
scene,场景
schedule,时间表
scheme,计划
school,学校
science,科学
scientific,科学的
scientist,科学家
score,得分
sea,海
search,搜索
season,季节
seat,座位
second,第二的
secret,秘密的
secretary,秘书
section,部分
secure,安全的
security,安全
see,看见
seek,寻找
seem,似乎
select,选择
self,自我
sell,卖
send,发送
senior,年长的
sense,感觉
sensitive,敏感的
sentence,句子
separate,分开的
series,系列
serious,严肃的
serve,服务
service,服务
set,设置
settle,解决
several,几个
severe,严重的
sex,性别
shake,摇动
shall,将要
shape,形状
share,分享
sharp,锋利的
she,她
sheet,床单
shelf,架子
shell,壳
shelter,庇护所
shift,转移
shine,发光
ship,船
shock,震惊
shoe,鞋
shoot,射击
shop,商店
shore,岸
short,短的
shot,射击
should,应该
shoulder,肩膀
shout,呼喊
show,展示
shut,关闭
sick,生病的
side,侧面
sight,视力
sign,符号
signal,信号
significant,重要的
silence,安静
silent,安静的
silly,愚蠢的
similar,相似的
simple,简单的
since,自从
sing,唱
single,单一的
sink,下沉
sir,先生
sit,坐
situation,情况
size,尺寸
skill,技能
skin,皮肤
sky,天空
slave,奴隶
sleep,睡觉
slide,滑动
slight,轻微的
slip,滑倒
slow,慢的
small,小的
smart,聪明的
smell,气味
smile,微笑
smoke,烟
smooth,光滑的
so,所以
social,社会的
society,社会
soft,柔软的
soil,土壤
soldier,士兵
solid,固体的
solution,解决方案
solve,解决
some,一些
somebody,有人
somehow,不知何故
someone,某人
something,某事
sometimes,有时
somewhat,有点
somewhere,在某处
son,儿子
song,歌曲
soon,不久
sorry,抱歉的
sort,种类
soul,灵魂
sound,声音
source,来源
south,南方
space,空间
speak,说话
special,特殊的
specific,具体的
speech,演讲
speed,速度
spell,拼写
spend,花费
spirit,精神
spite,恶意
split,分裂
spoken,口语的
sponsor,赞助商
sport,运动
spot,地点
spread,传播
spring,春天
square,正方形
stage,舞台
stand,站立
standard,标准
star,星星
start,开始
state,状态
station,车站
stay,停留
steady,稳定的
steal,偷窃
steam,蒸汽
steel,钢铁
step,步骤
stick,棍子
still,仍然
stone,石头
stop,停止
store,商店
storm,暴风雨
story,故事
straight,直的
strange,奇怪的
stranger,陌生人
strategy,策略
stream,溪流
street,街道
strength,力量
stress,压力
stretch,伸展
strike,打击
string,绳子
strong,强壮的
structure,结构
struggle,斗争
student,学生
study,学习
stuff,东西
stupid,愚蠢的
style,风格
subject,主题
succeed,成功
success,成功
successful,成功的
such,这样的
sudden,突然的
suffer,遭受
sufficient,充足的
suggest,建议
suggestion,建议
suit,适合
sum,总数
summer,夏天
sun,太阳
supply,供应
support,支持
suppose,假设
sure,肯定的
surface,表面
surprise,惊奇
surround,包围
survey,调查
survive,幸存
suspect,怀疑
swear,发誓
sweet,甜的
swim,游泳
swing,摇摆
table,桌子
take,拿
talk,谈话
tall,高的
task,任务
taste,味道
tax,税
tea,茶
teach,教授
teacher,老师
team,队
tear,眼泪
technical,技术的
technique,技术
technology,技术
telephone,电话
television,电视
tell,告诉
temperature,温度
temporary,临时的
tend,倾向
tendency,倾向
term,学期
terrible,可怕的
test,测试
text,文本
than,比
thank,感谢
that,那个
the,这
theatre,剧院
their,他们的
them,他们
themselves,他们自己
then,然后
theory,理论
there,那里
therefore,因此
these,这些
they,他们
thick,厚的
thin,薄的
thing,东西
think,思考
third,第三
thirsty,口渴的
thorough,彻底的
those,那些
though,虽然
thought,思想
thousand,千
threat,威胁
threaten,威胁
through,通过
throughout,遍及
throw,投
thus,因此
ticket,票
tie,系
tight,紧的
time,时间
tiny,微小的
tip,尖端
tire,疲劳
tired,疲倦的
title,标题
to,到
today,今天
together,一起
tomorrow,明天
tone,语气
too,也
tool,工具
tooth,牙齿
top,顶部
total,总计
touch,触摸
toward,向
town,城镇
track,轨道
trade,贸易
tradition,传统
traditional,传统的
traffic,交通
train,火车
training,训练
transfer,转移
travel,旅行
treat,对待
treatment,治疗
tree,树
tremendous,巨大的
trend,趋势
trial,试验
tribe,部落
trick,诡计
trip,旅行
trouble,麻烦
truck,卡车
true,真实的
trust,信任
truth,真理
try,尝试
tube,管
turn,转动
twice,两次
type,类型
typical,典型的
ugly,丑陋的
ultimate,最终的
unable,不能的
uncle,叔叔
under,在…下
undergo,经历
understand,理解
understanding,理解
undertake,承担
unexpected,意外的
unfair,不公平的
unfortunate,不幸的
unhappy,不快乐的
uniform,制服
union,联盟
unique,独特的
unit,单位
unite,联合
universal,普遍的
universe,宇宙
university,大学
unknown,未知的
unless,除非
unlike,不像
unlikely,不大可能的
until,直到
unusual,不寻常的
up,向上
update,更新
upon,在…上
upper,上部的
upset,心烦的
urban,城市的
urge,催促
urgent,紧急的
use,使用
used,用过的
useful,有用的
usual,通常的
valuable,有价值的
value,价值
various,各种各样的
vary,变化
vast,巨大的
vehicle,车辆
version,版本
very,很
via,通过
victim,受害者
victory,胜利
video,视频
view,看法
village,村庄
violence,暴力
violent,暴力的
virtual,虚拟的
virtue,美德
virus,病毒
visit,访问
visitor,访客
voice,声音
volume,体积
volunteer,志愿者
vote,投票
wage,工资
wait,等待
walk,走
wall,墙
want,想要
war,战争
warm,温暖的
warn,警告
wash,洗
waste,浪费
watch,观看
water,水
wave,波浪
way,方式
we,我们
weak,虚弱的
wealth,财富
weapon,武器
wear,穿着
weather,天气
week,星期
weekend,周末
weight,重量
welcome,欢迎
well,好
west,西方
wet,湿的
what,什么
whatever,无论什么
wheel,轮子
when,什么时候
where,在哪里
whether,是否
which,哪个
while,当…时候
whisper,低语
white,白色的
who,谁
whole,整个的
whom,谁
whose,谁的
why,为什么
wide,宽的
wife,妻子
wild,野生的
will,将要
win,赢
wind,风
window,窗户
wine,葡萄酒
wing,翅膀
winner,获胜者
winter,冬天
wish,希望
with,和…一起
within,在…内
without,没有
witness,目击者
woman,女人
wonder,想知道
wonderful,极好的
wood,木材
word,词
work,工作
worker,工人
world,世界
worry,担心
worse,更坏的
worst,最坏的
worth,值得的
would,将会
write,写
wrong,错误的
yard,码
yeah,是的
year,年
yes,是
yesterday,昨天
yet,还
you,你
young,年轻的
your,你的
yourself,你自己
youth,青年
zero,零
zone,地带